,topics,reflection
782,None,beware of their subcontractors  shower of chyte
783,"[2, 11]",if you know what you want then i would recommend ordering from   it was easy to find the tyres i wanted and to choose a nearby garage to fit them 
784,[3],good price for product and good choice of fitting station  including the one i would have used anyway  so couldn’t fault the service 
785,[3],garage was great and tyres at good price
786,"[6, 11]",this was my first experience of going online to choose my tyre and then make an appointment with a local garage to have the tyre fitted  i chose  because of the good reviews i had already read and hoped it would work well for me  i needn't have had any concerns because after ordering and paying for my tyre and choosing one of the two local garages suggested i was more than happy with the service i received  i would definitely use  again 
787,"[8, 9]",easy to book  guy was really nice  took me bang on time and finished when he said he would  professional 
788,"[1, 2]",excellent service - again  great fitter and reasonable price to suit my convenience
789,"[10, 11]",price was good and garage was empty so done in 15 mins  will buy again and use same garage - just tyres wycombe
790,"[4, 9]",your element was excellent however your approved garage was far from it  i turned up 5 minutes before the agreed fitting time at hiq neathand they didnt seem bothered  after 10 minutes of waiting i asked what was happening and they said they werent too sure as it was nothing to do with them because i bought through   they then decided it was time to take my vehicle into the workshop and eventually after 50 minutes the job was done  i do not excpect to wait 50 minutes for 2 tyres to be replaced  unfortunately they have let you down and would make me think twice about using you again  id rather pay a few quid extra and have a quicker turn around at my normal garage 
791,[9],had to change garage appointment to help them even though at booking it had been free
792,[4],the price was right and when i took the car to the garage the tyres were there waiting to be fitted 
793,"[2, 8]",easy to use website  prompt response and delivery to chosen garage garage was efficient and courteous  
794,[5],best price out there  easy  convenient booking  all sundries covered when fitting the new tyres  no hidden costs  will definitely use again  highly recommended
795,[10],good price  quick delivery  right product
796,[7],helpful  couldn’t be more helpful trying to find a local garage to fit the tyre  thank you
797,[9],great service but only when the tyres turn up  great service from the garage that fitted the tyres  but second time now that the promised fitting date was changed because the tyres hadn’t got there  perhaps i’m unlucky  but this is a cornerstone of the value offered  so  needs to get those tyres to the garage whatever the cost 
798,"[4, 8]",excellent  efficient service   extremely easy transaction pleasant gentleman who came to our house  so very much better than going to some industrial estate in the middle of nowhere 😀
799,"[5, 9]",bit of a wait  no appointment time possible at the fitting centre i used - so had a bit of a wait  other than that - service fine  and price for the tyres unbeatable 
800,"[4, 11]",good tyres at reasonable prices  purchased two hankook ventus prime 3 tyres to replace two chinese unknown brand ones that came with the car and were starting to crack  buying the tyres online from  com was easy and the fitting location was convenient the welcome on arrival was not the warmest as the guy on duty could clearly have benefitted from some customer service training however  his colleague josh  who actually fitted the tyres  was much friendlier and did a good job although i've done comparatively few miles on the tyres thus far  i have noticed they seem much quieter than the old ones and the ride is better overall a positive experience marred only by the curt welcome at the fitting location 
801,[10],great service and good price  
802,[10],good price and good service
803,[10],happy  quick  easy and a good price 
804,"[0, 11]",bought 4 avon tyres for my passat including fitting etc  for £305   excellent value for money 
805,"[3, 8]",excellent price excellent service highly recommended  excellent price  excellent service and all work carried out on the drive  mechanic arrived before expected  tyre changed and still able to get in to work early  a very impressed customer  highly recommended and will certainly use again when required 
806,[6],its quick and it's easy and the people who do the job once you take your car there are amazing   this is the second time i've used  and will be doing so in the future 
807,[2],ease of use  convenience and price
808,[2],booking was a bit of a mess  fitting was great  price was v competitive 
809,"[8, 9]",the staff are incredibly professional and helpful; especially the individual who changed my tyres  the only issue was the wait time when attempting to phone your customer support  but once answered they were very friendly and helpful
810,"[2, 11]",price and ease of access to any tyre you want  also you are able to pick a local garage to fit 
811,"[4, 9]",one tyre went missing  so there was a delay to get the two tyres fitted  the garage a dealt with were fantastic
812,[11],chose 10 as i checked the prices at my local garages and then checked on  the tyres were 40% cheaper at the local garage that i had just checked     exactly why would i not chose or recommend them  will never go anywhere else from now   
813,"[2, 8]",very good site  very quick to use online  wide selection of tyres  wide variety of garages to use and relatively cheap  would highly recommend 
814,[2],very easy to source  compare and evaluate the products and make an informed choice  easy to book and the garage itself was an absolutle pleasure to deal with   price was also better and local fitting was more convenient 
815,[2],the only way to buy new tyres  this is an excellent way to review  source and compare tyres   and to find a local garage to fit them  very easy to use the website and very easy to book an appointment  the garage i used was excellent too  courteous  helpful  informed and prompt staff  a very  very good all round experience with  com
816,"[0, 2]",easy to use website giving good value for money  when i had an issue with the installing garage they stepped in and resolved the problem to my satisfaction
817,"[4, 7]",straightforward process  no fuss  turned up to a partner garage and had brand new tyres put on within an hour or so  very happy with the service
818,"[8, 11]",my tyre get fitted on time exactly which is rarely to happen anywhere  quick and friendly staff with a competitive price 
819,[9],i’m happy with tyres but was disappointed with service this time as i had a 4pm slot booked at the garage  they didn’t even start until half past and it was nearly an hour before i got away  usually only takes 10-15 mins
820,[9],well  it seemed like a good idea  but after emailing to say my reservation time was no longer available and i'd have to reschedule my whole weekend and miss out on using my camper  then get to the garbage and they have no idea that i'm coming  they say the tyre should have been collected on the day it was delivered even though they couldn't fit it  tyre gets fitted but the garage don't even bother putting the spare back in the carrier  they just leave it in the boot  not very impressed at all 
821,[9],prices are good however arranging fitting has some issues  my original choice of fitting station was fine on check out but was quickly changed due to unavailability of the fitting station  the second appointment was then cancelled and rearranged  if this was a one off it wouldn't have been so bad but it's the second time this has happened 
822,[9],the company fitting the tyres  ats lymington  were totally lacking in customer service and i waited 2 hours for the work to be carried out whilst they did other cars which people had dropped off  if you book a time for the work to be carried out they should start the work then  you recommend them 
823,[9],turned up at the garage at appointed time yo be told bkack circles had changed the appointment 
824,"[7, 10]",easy to order  good price  no problems with fitting  all ok
825,"[4, 9]",didn't have the original full set of pilot sport 4s i wanted in stock which is fine  changed order to full set of super sports and set an appointment  this then got delayed until next week because the tires didn't arrive at the garage in time  when i picked my car up from the garage  the rear tires were pilot 4s and the front two were super sports  but the order was changed to a full set of super sports front and back  this is unacceptable on top of the delays and my original order being out of stock  i won't use this service again and won't recommend it 
826,"[4, 9]",when i turned up for my appointment at ats my tyres were not there  so i had to rebook  when i picked up my car  the very 1st time i got into it a warning light was on       all 4 tyyres ranged between 34 and 39 psi  when they should have been at 51  this is wholly unacceptable in my view for a garage to replace all 4 and not bother  last appointment fri should not warrant poor and service       h&s in a car is paramount 
827,[4],happy with tyres  disappointed had to leave car to have tyres replaced  i know the garage was first come first served but i was there before 9 am and told they'd ring me about lunchtime  which they didn't  i also got no paperwork  perhaps dealing with  put me down the work order 
828,"[7, 11]",easy to choose the tires and pick a time and date that is convenient 
829,[4],fitting date changed post booking  very inconvienient  second time this has happened  no evidence of free brake check or free tracking as requested  vehicle left outside fitters unlocked with keys sitting in centre console when asked to lock and retain keys and we would collect with spare  vehicle vibrating at speed so doubt wheels balanced properly  tyres inflated randomly in 4 psi range and incorrect pressure  rubbish really
830,[9],very competitive pricing garage near by to fit the tyres  only complaint was it took nearly 2 hours to fit them even though only one in the garage at the time 
831,[4],bought some tyres  not pleased with them  unable to return them or even get a discount on a replacement set 
832,"[4, 9]",your appointment system is not fit for purpose  i booked wed am but you offered thurs pm as the earliest appointment  you also stated that i should arrive early as the garage operates a first come first served  wrong  they operate an appointment system  mine was for 15 30hrs which you were informed of but failed to pass on  a reoccurring problem i am led to believe  the garage were excellent and revised their schedule to fit me in earlier  still a 3hr wait  your quotes for tracking and alignment were totally inaccurate  the only positive to come out of this debacle  on the day your tyre price was the cheapest i could find 
833,"[4, 11]",i compared  to motokiki bc was cheaper  by a small amount  in fact the high street price was also close for michelin  but my wife took our car to the garage and she found the reception to be rude and uninviting  the completed tyres had damaged the alloy wheels and the tyre pressures were incorrectly inflated 
834,"[4, 9]",although initially my experience was goodmy invoice could be changed on request without full refund which seemed unreasonable   and the service at ats not good
835,[4],the garage that fitted the tyres were clearly trying to deceive me into extra work which did not need doing  so i would not feel able to trust  
836,[8],kevin at mckinnon tyres was very helpful and done a great job
837,[1],great service  friendly fitters arrived on time  great job 
838,[9],whilst the online system was easy and efficient to use  it transpires that the preferred fitting centre wasn’t available despite being able to book at the time  however good communication via phone sorted another garage out and on arrival at said venue on the agreed day the tires had arrived but no booking was in their system  lucky slots existed for both my vehicles to have there tires changed around the online booking times but the garage staff said this was a routine issue with  bookings 
839,[9],had my first experience booked with   am impressed the fact when i booked in for two tyres but then was unable to drive there to due medical reason  luckily i was able to change it for home mobile service and this was completed on the following next day than the original date it was booked it  the fitter was very polite and professional  definite would use it again and certainly does save £££
840,"[5, 10]",  always have good brands at good prices   never have a problem and they use reliable local garages 
841,"[0, 9]",i thought the online booking system was clear and simple and tyres were good value  my minor gripe was a wait at the garage  i never give 10
842,[9],it was a mess from the get go  the fitting date was messed up three times
843,[4],garage fitting tyre did not open till 11 once arrived there again took 2 hrs 30 mins to fit the run flat tyre 
844,"[3, 11]",because i was very happy with the price and delivery off the tyres and the tyre fitters you recommended brilliant
845,"[3, 4]",good experience just wish  good experience and great prices just wish mobile fitting was still an option
846,"[3, 11]", is an excellent service  the tyre choice is comprehensive  the prices rarely bettered  and the local fitting deals  work competently and efficiently  don't have any doubts about sourcing tyres this way 
847,[9], did nothing wrong  except the fitter  i told them i ws on nights  but the didn't turn up till after 6pm  so there till after 7
848,"[1, 3]",brilliant great prices great delivery great tyre fitters
849,"[8, 9]",it went smoothly  no problems with the appointment  they were quick and efficient at changing the tyres
850,[9],got cheaper tyres than my normal garage and paid on line for tyre and fitting  the tyres got delivered to a garage close by and i booked a time to get fitted  had to wait a little bit at garage but that’s not  fault  overall good and will be using again and already told a few people when they need tyres next to use theses 
851,[7],ap dc autos  easy to order and arrange to fit with local garage  on the day had a great service from ap / dc autos in kirriemuir will use this garage again 
852,[7],tyres delivered quickly to local garage and attended there  fitted promptly  good specialoffer price willretain custom 
853,"[7, 9]",very easy to book on line  ready and waiting for us on the day  dropped the car off and went for a coffee and when we got back it was done  easy
854,"[3, 10]",good price  good service   quality tyres done locally im very happy with  and their delivery partner mc connachys in dingwall scotland
855,"[4, 8]",the guys who came to install the tyres were great  super professional  polite and knew their stuff  please pass on my feedback  they have compelled me to definitely come back again 
856,[2],easy website to use  great selection  garage were great and no issues 
857,[6],100% customer service  i can't believe how easy your service was to use  will definitely recommend company to others
858,[10],easy to use  great price and the ats in haverhill were great
859,[1],great service and great price staff were really friendly and helpful 
860,"[3, 5]",all in one price was best i could find and fitting centre was local and done while i waited
861,"[6, 10]",i was sent to shooters hill tyres via  and the service was spectacular  really good service and i’d definitely recommend this service to a friend 
862,"[2, 3]",very competitive price for michelin tyres  good booking system  good communication  convenient 
863,[10],price good as was the service
864,"[4, 10]",price was good and i could use the local garage that i’ve have serviced my car for the last 3 years 
865,[3],good price and good fitting service cannot fault either  thank you 
866,"[1, 9, 11]",easy & affordable  but cheeky customer service   however  i got it in the end  you should provide tyres with the same date of manufacturer regardless of what the tyre british association consideration 
867,"[4, 7]",offer competitive prices and including fitting  balancing disposal et  makes the whole process easy and cost effective  add to this the customer service and fact they check with you your order is correct prior to dispatch  i cannot fault them 
868,"[4, 9]",when to garage to find no order delivered  garage used their own stock but unsure it same tyre rating  issue with fitments  labels left on tryes that had to be powerwashed off amd wheel bolt snapped during fitment  no paperwork amd told ok to drive with one bolt missing on long journey home  had to but bolt myself and go vack to garage  did fit it with no issues or charge but did not leave a positive impression  garage mot complimentary about  even though they were their partner 
869,"[2, 6]",best price out there also local fitter tyrezone was first class
870,[1],quick efficient well priced service
871,[9],all lies on website   there are no booking times that are arranged with the tire centre   they have told you constantly but you never do anything about it   if i had stayed i would of waited all day i arrived before centre opens only to find that you have no bookings won’t be using u again
872,[0],excellent value as always  will continue to use  as good value for money 
873,[8],saved a fortune  served quickly  fantastic garage introduction  amazing service
874,"[7, 11]",very easy to buy tyres and have them fitted local to me
875,"[2, 3, 5]",good choice of tyres  best price  convenient local fitting through a fitter i know and trust
876,[2],really competitive prices  easy to follow web site for the purchase 
877,"[2, 11]",nice  easy and the cheapest option for tyres at the moment 
878,"[2, 7]",competitive price and easy to order  competitive price  easy to order and good communication due to local chosen garage not available to fit the next day also a good selection of tyres to suit personal choice / circumstances 
879,[8],tyre change  great service  tyres fitted quickly  pleased with tyres 
880,"[7, 9]",easy to book easy all round however try and book a few days in advance of fitting saves time and trouble
881,[3],good buy  very reasonable priced and excellent service
882,[8],excellent service by staff very efficient and professional
883,[7],quick and easy online order system which saved money  local fitting service with mutually convenient booking highly recommended
884,[1],staff was very helpful and knowledgable  great customer service
885,"[0, 2, 3]",excellent site great product easy service
886,"[9, 10]",price was good due to a offer
887,"[3, 6]",used bc quite a few times and the service and choice and prices are always great  
888,[6],first rate service 
889,"[7, 11]",straight forward  choose tyres and price that suits  no pressure selling  fitted exactly at time arrangd 
890,[2],easy as  competitive pricing  easy booking of fitting at preferred location 
891,[11],very happy with tyres supplied and fitted 
892,"[3, 9]",the price and the fitting very good but i’m still waiting for my email receipt
893,[9],booking an appointment with a fitter is not as accurate as it should be  booked for a time slot but was told eight hours later that the time slot was not available  this is the second time this has happened over recent months 
894,[8],all round easy to use and the garage were brilliant
895,[10],good prices and efficient fitting service  the price for the set of michelin crossclimate plus tyres for my mercedes e class estate was very competitive and the fitting service was easy to arrange  efficient and friendly 
896,[3],excellent prices and fitted at a time that suited me  excellent service and advice from the staff in the fitting centre 
897,[9],you cancelled my first appointment because the tyers had not arrived  the men at a t s very good
898,"[0, 10]",past experience combined with this one  good service and good value
899,"[5, 7]",it was very easy to book and the cheapest online 
900,"[2, 9]",some frustration in not being able to contact you by phone - repeatedly busy  otherwise  the website works very well - i like the range and pricing and convenience of the connection with a local garage  and when i did manage to speak to someone they were courteous and helpful 
901,[9],had to wait another day because tyres hadn't arrived yet
902,[4],although i thought the price would save me a few quid it took 3 attempts  and a week later to deliver my tyres to the fitter  fitters  took a long time to fit tyres  and when my pressure warning system kept warning me to check pressures i found that one tyre was inflated to 35psi and the other to 60psi 
903,[9],rubbish website chasing around and misery  website gives time slots and then sends an email the next day saying to contact them as the garage cannot accept the time  nothing to do with the garage  it’s the awful website giving out misinformation and false promises  you then have to ring around chasing them up non stop  awful experience  one i won’t be having with them again 
904,[7],easy and simple  easy to shop online  arrived on time at the garage  the garage dealt with me straight away  no waiting  good experience  thank you 
905,[4],on arrival and throughout my visit to ats broadheath i found the staff not engaging  returning home checking tyre pressures of my newly fitted tyres  both were under inflated 
906,[3],premium tyres at a good price fitted locally 
907,[10],happy with price and fitting at local garage 
908,"[6, 7]",it was quick and easy to book everything using  and it was recommended by a friend 
909,[0],very satisfied with the service from carmaster in bailleston  very simple process 
910,[5],cheap
911,"[9, 10]",good service  fitment a day late 
912,[1],good service  helpful staff  great price  what else can i say 
913,[4],far  far cheaper than buying them ‘off the shelf’  the ats fitting centre were great  they said it would take an hour and called after 55 minutes to say that the car was ready to collect - no dramas  complications or hassle  website is easy to navigate  have used  for the last 4 years  ever since i moaned to a friend that my bmw runflats were nearly £250 a piece and he said  have you tried    
914,"[3, 9]",tyres were spot on and the price was excellent  i'd chose a different fitter next time as ats were very poor 
915,[7],happy with everything  so easy to order and get fitted at local garage  brilliant 
916,[4],i bought two tyres  when i got to the fitters  i thought i'd get a matching pair and change all 4  cost me £50 extra buying at the fitters 
917,[2],website easy to use  competitive pricing 
918,"[7, 9]",the service from start to finish is simple and being able to book a time that suits is also very good  the garage that i chose was excellent i didn’t expect my car back for another few hours but it was ready in less than an hour very impressed
919,[11],much cheaper than anywhere else  and still got fitted locally
920,[3],great choice and pricing for tyres   tend to use other sites for overall opinion of tyres long term  good choice of fitting centres  silver burn fitting centre  very helpful fitters  but could do with parking bays to leave cars in before and after fitting 
921,"[0, 10]",fast and easy to use service that enabled our tyre to be replaced quickly and at a good price 
922,"[10, 11]",cheapest option around and quick delivery and easiest possible tyre fitters nearby  delighted 
923,[10],easy efficient and a good price
924,[9],hopeless dont bother  the fitting centre wasted my time and didn't fit the tyres i ordered   customer care were supposed to call me - they didn't  when i got in touch with customer care them they said they would look into the issue and get back to me - they didn't 
925,None,a great all round service  easy to book online and pick a time preference  arrived within the time scale that was allocated and promptly changed the tyres whilst the car was on our drive  the technician was friendly  knowledgeable and offered useful practical advice  would definitely use again 
926,"[2, 4]",the only downside was the distance we had to travel to our nearest fitting site 
927,[8],great service from your supply partner - completed the works quickly and at the time promised 
928,"[8, 11]",great prices  so much cheaper than places like kwikfit  selected garage was close by and very pleasant  would recommend  
929,[9],underwhelmed  chose ats for fitting who cancelled the chosen appointment slot the day before  chose another fitting station but had to wait 3 days for fitting appointment  good service from this one but discovered their price for the same tyres would have been almost £20 cheaper than  
930,"[1, 10]",great service  good prices  fast & efficient 
931,[1],an excellent service  an excellent  comprehensive service at a competitive price 
932,[11],good price for fitted tyres  efficient service as ever  if doing 4 tyres it’s always worth looking for discount codes  or waiting for one of their regular 10% off flash sales - so much cheaper than dreaded kw@k f@t
933,[7],excellent online ordering and efficient local fitter
934,"[4, 7]",booking was easy but fitting at the nominated garage took way too long at nearly 2 hours for 4 tyres
935,[4],tyres ok but fitting was bad  although the tyres i had fitted were the ones i ordered when i was at the ats station in wrexham to have them fitted i was treated very badly by the staff  i would not advocate using this depot to fit tyres again
936,[10],really well priced and very easy to arrange 
937,[4],"rip off extra cost of 35 for each tyre for valve stem and cap if pressure sensor fitted  rip off   extra cost not mentioned on web site or confirmation email laws tyres  aberdeen charge £35 extra for each tyre with auto tyre presure fitted  i have used  many times in past  and recomend to others never again    other major tyre garages have this as part if standard charge or under five pound  not a good deal for me nothing on website to warn you  please ask before going for a fitting if there is any extra cost or go elsewhere    other websites break this down for you to see  not   slim margin for garage on fitting cost thus looks like a ""surcharge"" added by garage   once they have your car on the ramp    "
938,"[2, 3]",very easy website to use   great choice of tyres at competitive prices  just turn up at your chosen fitters tyres ready and waiting  great service will use again 
939,"[4, 11]","worked out well  ""camper"" tyres for motorhomes are not cheap and looking for the continental vanco version never easy   came in as the cheapest supplier  with a van as high as mine and low emission zone restrictions it's difficult to find somewhere to go and 's list of fitters and the map made this a relatively easy process  it turned out to be the garage i always use for my motorhome and was due to take it for an mot anyway "
940,"[10, 11]",great service  a good price  fitted within 24 hours at good local tyre company  deserves 5 star rating
941,"[2, 10]",great range of options with good reviews to help you decide  prices are good  supported by a quick and efficient delivery  garage used for fitting very professional  have been hesitant previously to use this method of purchase however it will be my go to option for the future 
942,[0],great value  excellent value and very easy to arrange fitting
943,[0],good value  quick  no problems 
944,[7],just booked a slot at local ats and that's it
945,[1],i have always dealt with  reason being you are treated well great customer service and dedicated great garages
946,"[3, 11]",bridgestone tyres 205 40 17  excellent price for top grade tyres  well pleased and will buy from here again  will recommend to everyone 
947,"[7, 8]",easy to book on line at local garage  friendly and helpful staff did a great job and did it quickly as promised  will us again 
948,"[3, 10]",decent price and good fitting station  no haggle approach and voucher discounts make  a decent choice
949,"[4, 11]",felt like there were hidden costs on arrival at the fitting centre
950,[4],the correct tyres were fitted at my home  the fitter was quick and efficient but took care of alloy wheels 
951,"[2, 6]",very simple and easy service to use  very competitive prices  definitely recommend
952,[4],the tyre fitter who fitted my new tyres damaged all of the wheels due to poor fitting equipment and a lack of care and skill whilst removing the tyres  its clear  do not pay attention to the people they trust to complete the transaction/tyre fitting and for this reason i will never use them again or the garage who fitted the tyres which is treadmark tyres of canterbury 
953,"[7, 8]",great service  the tyres were delivered to my local ats euromaster as requested  the guys at ats euromaster were very helpful and efficient i highly recommend  and ats euromaster in didcot 
954,[7],great price   and simple to have the tyres fitted
955,"[3, 9]",good tyres messed around in fitting  good tyres at a reasonable price fitting service wasn’t perfect  i was pushed back 3 days from my chosen and accepted fitting day 
956,[9],poor information if tyres not delivered  i ordered tyres and set the fitting date for 1 wheel later  i received a confirmation email later that day on arrival at the garage i was informed that the garage had been shut for the last 2 weeks due to their summer holiday  the tyres had therefore not been delivered  i received no email or call for  to say that the tyres had not been delivered  so i wasted time  going to the garage i rearranged the fitting and only got confirmation at 10:10pm the night before which is too late to rearrange my work for the following day may i suggest that in future if the tyre supplier cannot make the delivery that you inform the customer  a simple thing to do by email and good business manners  confirmation emails should also be sent earlier   so why the delay in contacting me 
957,"[4, 8]",never have i experienced any problems with    garage is close to my home and staff are very helpful if you have any questions
958,[9],because even though we had an issue with the fitting date   recompensed us for the inconvenience 
959,"[1, 4]",great service although the fitter got over zealous revving my motor on the ramps 😂
960,[4],easy & affordable  but their customer service was reluctant when tried to get refund for an older tyre  however  i got it in the end you should provide tyres with the same date of manufacturer regardless of what the tyre british association consideration 
961,"[3, 8]", and hillam tyres  would recommend hilliam tyres  the fitting partner i used with    were excellent all in all the whole experience was excellent will use again 
962,[11],- easily understood website - simple procedure for selecting tyres    but could be better in ensuring the particular tyre i wanted was the one finally selected not others similar  - very clear indication where local tyre fitting was available - simple pay
963,[9],bad experience made booking for thursday  organised my day to fit the booking  they then advise that the booking wasn't possible  so had to re-arrange for 10am friday morning  again i arranged my day to fit it in  turned up at garage who had the tyres but knew nothing about the booking and said they couldn't fit me in until 2pm  had to return home to re-arrange my day and then called  who then advised that the next available booking was for tuesday    needless to say i cancelled the whole thing and will not use or recommend  thanks guys  you really screwed my days up 
964,"[0, 7]",straight forward  value for money  excellent service from chosen garage   
965,[11],cheaper tyres than most places 
966,"[5, 9]",i’ve used  a number of times in the past unfortunately this was not the best experience as they messed up my appointment time which ruined my plans for the day
967,"[0, 5]",very simple to do and saved me money what more could you ask for
968,"[4, 11]",disappointed  ok  but not that much cheaper than anywhere else  also the voucher code didn't work despite having 4 bridgestone tyres fitted  i feel its unfair to penalise people just for having different front and rear tyre sizes  not sure if i would use again  dissapointed 
969,[9],because my booking time was changed from 9 00 to 11 00 and when i got to garage was informed i was booked in for 10 00 and told i felt rudely that i was to late even as i attempted to show the email that said 11 0o only to then be told ow your in for 11 00 as well i guess we can do you then 
970,"[1, 4]",red dot not opposite valve  great price and service although fitter didn’t put the red dot opposite the valve so more balance weights were required
971,[11],on entering your site filling all out entering codes still had to pay full price
972,"[6, 9]",called the night before to arrange time for following day  arrived on time  very polite and professional  very happy with the service and will definitely recommend and use again myself 
973,[3],excellent service  good choice of tyres and prices  excellent service at the garage
974,"[9, 11]",the correct tyres were delivered  and fitting went very smoothly 
975,"[2, 8]",dead easy  no hassle and quick turnaround with local reputable fitter 
976,"[0, 10]",value for money  quick delivery and fitting available 
977,[1],reasonable price and friendly staff
978,[3],excellent service from  and selecta tyre
979,[9],taranasus seal of approval  i mean what's there to fault  i placed the order  tires arrived on time  the service was very professional even though it was a local-operated business  they even troubleshooted a problem i had with the car which was not their fault or responsibility and didn't charge me anything for it  took only 40 minutes to do both tires  a++
980,[7],great prices  no fuss and tyre fitted quickly at a local garage 
981,[7],booking easy  garage ready when i arrived and did job straight away 
982,[6],have used 's previously  excellent value and service then and still the same now  will use in the future  i recommended this service to family and friends who have since purchased their replacement tyres  all of whom are very satisfied  
983,[8],motel is a friendly and very efficient garage  it certainly is a great ambassador for 
984,"[7, 10]",good garage  on time
985,"[4, 9]",turned up 10 mins before my appointment was greated by a fitter who told me my car would go in after he had finished up a job  made to feel very welcome had a coffee and my vehicle went into the workshop at the time i booked  really great service from the team at ats frome 
986,[6],used  three times now and always been very pleased with the service provided  and fitted on time by hiq dukinfield 
987,[9],initial tyre fitter was was unavailable despite confirmation
988,[10],great serviceprice  good service from ats  good price from 
989,"[7, 9]",pleased overall although there was a delay in my order resulting in me having to change fitting date as they were not delivered in time  price was good and the process was easy and straightforward  would use again 
990,"[4, 9]",gave me an appointment at garage when tyres were not there  didn’t put car on ramp to check tracking  i was told that  so i doubt very much they did the other free checks 
991,[2],excellent range easy to find the tyreseasy  excellent range easy to find the tyres i wanted  got 10% off booked fitting time i wanted  will use again 
992,[9],safety issues  chose a local dealership to fit the tyres  drove the vehicle to a remote holiday cottage and one of the tyres had deflated  managed to get it to a tyre centre  a few miles from the cottage  where i was told it hadn't been sealed properly  responded with an apology and a very modest compensation offering  given the safety issue at stake  the compensation is yet to arrive 
993,[2],great service no hassle  great service  have used these folks several times  just look on the site  good range of tyres and great prices  pick your garage to have them fitted  turn up done  no hassle at all 
994,[7],the whole process  from the ordering on line and having the tyre fitted was quick and easy   the price i paid was all inclusive   drove in to tyre center   and drove out within ten minutes  
995,"[10, 11]",very good service as ege goodyear tyres  very good service as e g e r  love the goodyear tyres 
996,[3],good prices  good choice and convenient fitting 
997,"[4, 11]",fine no complaints  can't complain  tyres i needed were available  and the fitter was fantastic  taking extra time on my somewhat fiddly to change wheels to ensure he didn't damage them  well done all round really  only negative was the tyres weren't cheaper than buying direct from a garage  but worth it for the convenience 
998,[11],most of the tyres in stocka good amount of partners where you can get tyres fittedcompetitive pricesgood website
999,[9],booked in and confirmed a m appointment via  but garage unaware of booking when i arrived meaning 2 hour wait for tyres to be fitted 
1000,[2],easy to select tyres  easy to select fitting station and good service
1001,[7],delivery was only partial so couldnt do complete installation
1002,[2],great prices  easy to use local trusted garage 
1003,"[5, 10]",very easy to arrange  and a great price  what more could you want 
1004,"[2, 11]",competitive pricing  let's you choose the tyre you want rather than restricted to what the garage has in stock
1005,[2],the web site was easy to use  the tyres were a good price and i got excellent service from the recomended garage i used
1006,"[1, 3, 5]",great choice  best price  great service  simple 
1007,[2],easy to use website and great prices
1008,"[7, 10]",easy ordering  good prices 
1009,"[3, 11]",a top all round experience the future of tyre sales  a great choice of products; very competitive prices  fitted locally  at a time which suited me  a great service indeed 
1010,[4],good way to fit new tyres  i have used  several times over the last 10 years and always found them to have good competitive prices for a wide selection of tyres  installation service at my local independent small garage has also been excellent  experience is better than past at places like kwikfit etc  eg  i just paid £500 for four bridgestone/michelin tyres for my bmw where kwikfit charged £500 for two when my old bmw failed its mot there 
1011,"[2, 8]",seamless and professional service excellent  the website is easy to navigate and makes choice and booking easy  the fitting centre was professional and staff were friendly and helpful 
1012,"[0, 9]",fantastic service  ended up a day early than forecasted for delivery  and great value for money
1013,[9],good company  correct tyres  very good garage fitted them   very good when i cancelled fitting date due to breakdown  helpful  used them before and will use again 
1014,[9],awful experience  first agreed fitting date cancelled the night before  second time an appointment booked apparently  garage knew nothing about appointment time  and to top it off only 2 tyres delivered to the garage instead of 4  i spent 5hrs at the garage  only positive i can give is jamie did resolve the issue and i had tyres fitted 
1015,"[7, 11]",used  a few times now and cannot fault them  the tyres are cheaper than buying from the garage that fits them straight forward convenient and no reason to go anywhere else
1016,[7],tyre buying made easy  a very simple process from ordering through to fitting by my selected local garage  no more than 40 minutes for 2 front tyres to be fitted by friendly efficient staff 
1017,[1],great quick service polite fitters
1018,[1],5 as always  great service  quick fitment  5*as always
1019,[3],always excellent pricing and good delivery times  so convenient that i can get fitting at my regular garage also 
1020,"[3, 8]",the quality of the tyres are fantastic and the price is fantastic the garage that fitted my tyres were very polite and professional
1021,[2],very easy website to use  pick your tyres  book your car in  simple 
1022,[3],excellent comunication  very good price also good choice of fitting centre 
1023,"[2, 5]",very reasonably priced tyres  easy to use website and a good choice of fitting stations 
1024,[3],competitive prices   tyres were fitted as per appointment   very good service 
1025,[3],service as described and great price for tyres and fitting a+++++
1026,[3],easy to use service  good quality tyres  great service from the chosen tyre specialist  i would be happy to recommend and use again 
1027,"[4, 6, 11]",i have been a user of  for many years due to the excellent and user friendly web-page  in addition  the offering of various manufacturer specification and all inclusive costs is truly excellent and unique  clear and uncluttered  last but certainly not least i have used the same fitter for all my cars over many years and also that of my wife and son  and would have no issue in recommending them highly enough  pleasant  courteous  fully respectful and careful in handling the alloy wheels and the car itself whilst in their possession  totally excellent small local garage  professional and top class customer service  well done black-circles and the local garage  keep it up 
1028,[8],josh and richard were the ultimate dream team at bar hill  they were super helpful  friendly and incredibly thorough  i couldn't recommend them more  thank you boys 
1029,[11],used my regular tyre place down the road   but through    had a wider choice and cheaper range through  than going directly to the tyre place directly 
1030,"[3, 8]",easy  hassle free  good price and availability of fitting centres
1031,[2],unbeatable for tyres  i always buy my tyres from  because they cannot be beaten on price and they have a wide range of products  their customer service is always excellent and it’s so easy to book in your local garage 
